17;Moore;Women;Shuffle.mp3,207.75,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\17;Moore;Women;Shuffle.mp3,5.19,2012-04-14T07:33:41.812500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;New;Orleans;Blues.mp3,44.83,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\17;New;Orleans;Blues.mp3,1.46,2012-04-14T07:27:47.421875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Somewhere;Listening;for;My;Name.mp3,209.89,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\17;Somewhere;Listening;for;My;Name.mp3,5.24,2012-04-14T07:34:46.468750;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Spring;Can;Really;Hang;You;Up;The.mp3,377.42,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\17;Spring;Can;Really;Hang;You;Up;The.mp3,7.64,2012-04-14T07:52:29.546875;;;;;;;;;;;;;;;;;;;;;;
17;Traditional;Chant_Indian;Red_Hey.mp3,184.08,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\17;Traditional;Chant_Indian;Red_Hey.mp3,4.65,2012-04-14T07:53:22.765625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Agent;OO;Soul.mp3,162.12,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\18;Agent;OO;Soul.mp3,2.91,2012-04-14T07:45:52.390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Follow;Me;(Club;Mix).mp3,383.63,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\18;Follow;Me;(Club;Mix).mp3,9.22,2012-04-14T07:53:18.703125;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Gardez;Donc!.mp3,202.61,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\18;Gardez;Donc!.mp3,8.17,2012-04-14T07:48:46.265625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Intoit.mp3,202.5,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\18;Intoit.mp3,3.53,2012-04-14T07:16:07.390625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Mardi;Gras;in;New;Orleans.mp3,329.05,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\18;Mardi;Gras;in;New;Orleans.mp3,5.46,2012-04-14T07:47:07.703125;;;;;;;;;;;;;;;;;;;;;;;;;;
18;St.;Louis;Blues.mp3,169.12,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\18;St.;Louis;Blues.mp3,6.89,2012-04-14T07:51:37.734375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Time;Is;On;My;Side.mp3,102.19,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\18;Time;Is;On;My;Side.mp3,2.78,2012-04-14T07:46:23.734375;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Tipitina.mp3,159.94,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\18;Tipitina.mp3,4.1,2012-04-14T07:27:47.875000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Drink;a;Little;Poison;(4;U;Die).mp3,111.41,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\19;Drink;a;Little;Poison;(4;U;Die).mp3,2.99,2012-04-14T07:41:11.734375;;;;;;;;;;;;;;;;;;;;;;
19;Fly;Me;to;the;Moon.mp3,63.72,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\19;Fly;Me;to;the;Moon.mp3,1.9,2012-04-14T07:47:04.453125;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Fuck;Katrina.mp3,305.37,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\19;Fuck;Katrina.mp3,5.1,2012-04-14T07:46:57.968750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Hey;Pocky;Way_Indian;Red.mp3,220.42,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\19;Hey;Pocky;Way_Indian;Red.mp3,5.48,2012-04-14T07:36:08.765625;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;I;Like;It;Like;That.mp3,117.17,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\19;I;Like;It;Like;That.mp3,2.22,2012-04-14T07:39:32.859375;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Shallow;Water.mp3,98.98,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\19;Shallow;Water.mp3,2.7,2012-04-14T07:45:27.718750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;West;End;Blues.mp3,201.73,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\19;West;End;Blues.mp3,5.05,2012-04-14T07:26:37.875000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;While;We;Danced;At;The;Mardi;Gras.mp3,146.44,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\19;While;We;Danced;At;The;Mardi;Gras.mp3,6.02,2012-04-14T07:51:02.343750;;;;;;;;;;;;;;;;;;;;;;
20;Blue;Drag.mp3,70.06,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\20;Blue;Drag.mp3,2.04,2012-04-14T07:38:56.156250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"20 I'd Rather Be Blind, Crippled And.mp3,166.75,""D:\iomega";drive;archive\Presets\old;docs\TREME;SOUNDTRACK\20;I'd;Rather;Be;Blind,;Crippled;"And.mp3"",2.98,2012-04-14T07:41:11.750000";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Indian;Red;(Ep.10).mp3,441.74,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\20;Indian;Red;(Ep.10).mp3,10.55,2012-04-14T07:50:39.796875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Indian;Red.mp3,428.75,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\20;Indian;Red.mp3,10.25,2012-04-14T07:52:22.718750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;New;Orleans.mp3,246.26,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\20;New;Orleans.mp3,6.07,2012-04-14T07:41:30.203125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Shallow;Water.mp3,66.46,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\20;Shallow;Water.mp3,1.96,2012-04-14T07:45:18.640625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;So;Much;Drama.mp3,229.51,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\20;So;Much;Drama.mp3,3.94,2012-04-14T07:31:13.796875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Whirlaway.mp3,140.86,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\20;Whirlaway.mp3,2.6,2012-04-14T07:39:47.484375;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Do;Watcha;Wanna.mp3,406.33,D:\iomega;drive;archive\Presets\old;docs\TREME;SOUNDTRACK\21;Do;Watcha;Wanna.mp3,10.06,2012-04-14T07:51:45.687500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
